Order No,Order Type,Entry Type,Order Date,Config ID,Is MTO,Createts,Draft Order Flag
341370058909,PHONEORDER,CCA,2024-05-16 14:20:17,6780921-V1-OB-32-3320123,null,2024-05-16 14:20:20,Y
341370578419,PHONEORDER,CCA,2024-05-17 14:13:13,2295142-V1-PN,null,2024-05-16 14:16:27,Y
341370926774,PHONEORDER,CCA,2024-05-16 10:04:23,429229-V1-OB-36,null,2024-05-16 10:04:26,Y
341373900883,PHONEORDER,CCA,2024-05-16 12:36:44,2843338-V1-OB-OB-2375-ST,Y,2024-05-16 12:37:14,Y
341373900883,PHONEORDER,CCA,2024-05-16 12:36:44,3222067-V1-CP-CP-2375,Y,2024-05-16 12:37:14,Y
341380010759,PHONEORDER,CCA,2024-05-17 13:20:23,7667289-V1-BA-1333596,null,2024-05-17 13:20:23,Y
341380367340,PHONEORDER,CCA,2024-05-17 09:54:52,8342993-V1-PN-50-9716840,null,2024-05-17 09:54:52,Y
341380370245,PHONEORDER,CCA,2024-05-17 07:33:13,6769173-V1-LQ-3172524,null,2024-05-17 07:33:14,Y
341380379048,PHONEORDER,CCA,2024-05-17 08:52:28,129712-V1-18-4291526,null,2024-05-17 08:52:29,Y
341380399418,PAPERORDER,CCA,2024-05-17 08:41:49,7472859-V1-45-4638220,null,2024-05-17 08:41:50,Y
341380571248,PHONEORDER,CCA,2024-05-17 16:10:03,2119596-V1-BD,null,2024-05-17 16:10:03,Y
341380571248,PHONEORDER,CCA,2024-05-17 16:10:03,5531591-V1-BD-7101013,null,2024-05-17 16:10:03,Y
341380832277,PHONEORDER,CCA,2024-05-17 07:32:22,6769173-V1-LQ-3172524,null,2024-05-17 07:32:23,Y
341380906667,PHONEORDER,CCA,2024-05-17 11:51:03,2863510-V1-CP-9716840,null,2024-05-17 11:51:03,Y
341382005385,PHONEORDER,CCA,2024-05-17 11:15:38,4130821-V1-BN-9822096,Y,2024-05-17 11:16:38,Y
341383974217,PHONEORDER,CCA,2024-05-17 15:00:14,3428032-V1-GT-CW-32-2700K,Y,2024-05-17 15:00:30,Y
341383974217,PHONEORDER,CCA,2024-05-17 15:00:14,9902700-V1-UD-OB-34,Y,2024-05-17 15:00:30,Y
341403684903,PHONEORDER,CCA,2024-05-19 12:21:39,6157570-V1-CP-9968240,Y,2024-05-19 12:21:52,Y
341403684903,PHONEORDER,CCA,2024-05-19 12:21:39,968468-V1-CP-9968240,Y,2024-05-19 12:21:52,Y
341403715277,PHONEORDER,CCA,2024-05-19 12:44:30,6157570-V1-CP-9968240,Y,2024-05-19 12:45:02,Y
341403715277,PHONEORDER,CCA,2024-05-19 12:44:30,968468-V1-CP-9968240,Y,2024-05-19 12:45:02,Y
341413140573,PHONEORDER,CCA,2024-05-20 14:15:28,1336180-V1-CP-30-6347639,Y,2024-05-20 14:16:04,Y
341413140573,PHONEORDER,CCA,2024-05-20 14:15:28,441276-V1-CP-33-4989352,Y,2024-05-20 14:16:04,Y
341413140573,PHONEORDER,CCA,2024-05-20 14:15:28,7637801-V1-CP-36,Y,2024-05-20 14:16:04,Y
341413140573,PHONEORDER,CCA,2024-05-20 14:15:28,8757719-V1-CP-36-4989352,Y,2024-05-20 14:16:04,Y
341413140573,PHONEORDER,CCA,2024-05-20 14:15:28,8933295-V1-CP-4122130,Y,2024-05-20 14:16:04,Y
341413605765,PHONEORDER,CCA,2024-05-20 07:12:57,2403585-V1-PN-36-3551035,Y,2024-05-20 07:13:22,Y
341420509927,PHONEORDER,CCA,2024-05-21 16:26:55,4181212-V1-PN-N,null,2024-05-21 16:26:57,Y
341420711010,PHONEORDER,CCA,2024-05-21 13:38:20,9902700-V1-UD-OB-34,null,2024-05-21 13:38:21,Y
341422236198,PHONEORDER,CCA,2024-05-21 09:39:05,2403585-V1-PN-36-3551035,Y,2024-05-21 09:39:21,Y
341430212553,PHONEORDER,CCA,2024-05-22 10:15:41,6769173-V1-LQ-3172524,null,2024-05-22 10:15:41,Y
341430312171,PAPERORDER,CCA,2024-05-22 11:16:48,2119596-V1-OB,null,2024-05-22 11:16:48,Y
341430312171,PAPERORDER,CCA,2024-05-22 11:16:48,5323264-V1-18-N,null,2024-05-22 11:16:48,Y
341432374617,PHONEORDER,CCA,2024-05-22 12:17:47,4130821-V1-BN-9822096,Y,2024-05-22 12:18:44,Y
341433294541,PHONEORDER,CCA,2024-05-22 12:39:05,6769173-V1-LQ-3172524,Y,2024-05-22 12:39:20,Y
341433948401,PHONEORDER,CCA,2024-05-22 10:33:01,1052264-V1-UN-3100,Y,2024-05-22 10:33:27,Y
341433948401,PHONEORDER,CCA,2024-05-22 10:33:01,1052264-V1-UN-4000,Y,2024-05-22 10:33:27,Y
341433948401,PHONEORDER,CCA,2024-05-22 10:33:01,2230780-V1-UN-1300,Y,2024-05-22 10:33:27,Y
341433948401,PHONEORDER,CCA,2024-05-22 10:33:01,2230780-V1-UN-1700,Y,2024-05-22 10:33:27,Y
341433948401,PHONEORDER,CCA,2024-05-22 10:33:01,2230780-V1-UN-3300,Y,2024-05-22 10:33:27,Y
341440333936,PHONEORDER,CCA,2024-05-23 15:54:40,7717306-V1-OB-31-HB,null,2024-05-23 15:54:41,Y
341440697611,PHONEORDER_G_CA,CCA,2024-05-23 14:05:42,3475976-V1-OB-30-7755211,null,2024-05-23 14:05:43,Y
341440697611,PHONEORDER_G_CA,CCA,2024-05-23 14:05:42,470396-V1-OB-6994846,null,2024-05-23 14:05:43,Y
